"filename", "language", "Go", "Go Module File", "Go Checksum File", "Markdown", "Ini", "comment", "blank", "total"
"f:\go_project_mod\myYoku\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"f:\go_project_mod\myYoku\conf\conf.go", "Go", 18, 0, 0, 0, 0, 0, 5, 23
"f:\go_project_mod\myYoku\conf\conf.ini", "Ini", 0, 0, 0, 0, 8, 0, 2, 10
"f:\go_project_mod\myYoku\controllers\advertController.go", "Go", 16, 0, 0, 0, 0, 3, 6, 25
"f:\go_project_mod\myYoku\controllers\channelBaseController.go", "Go", 17, 0, 0, 0, 0, 2, 6, 25
"f:\go_project_mod\myYoku\controllers\commentController.go", "Go", 17, 0, 0, 0, 0, 4, 6, 27
"f:\go_project_mod\myYoku\controllers\userController.go", "Go", 17, 0, 0, 0, 0, 2, 6, 25
"f:\go_project_mod\myYoku\controllers\videoController.go", "Go", 21, 0, 0, 0, 0, 8, 6, 35
"f:\go_project_mod\myYoku\daos\advertDao.go", "Go", 18, 0, 0, 0, 0, 1, 7, 26
"f:\go_project_mod\myYoku\daos\channelBaseDao.go", "Go", 25, 0, 0, 0, 0, 1, 9, 35
"f:\go_project_mod\myYoku\daos\commentDao.go", "Go", 44, 0, 0, 0, 0, 7, 10, 61
"f:\go_project_mod\myYoku\daos\userDao.go", "Go", 29, 0, 0, 0, 0, 4, 8, 41
"f:\go_project_mod\myYoku\daos\videoDao.go", "Go", 75, 0, 0, 0, 0, 1, 14, 90
"f:\go_project_mod\myYoku\go.mod", "Go Module File", 0, 60, 0, 0, 0, 0, 4, 64
"f:\go_project_mod\myYoku\go.sum", "Go Checksum File", 0, 0, 469, 0, 0, 0, 1, 470
"f:\go_project_mod\myYoku\main.go", "Go", 67, 0, 0, 0, 0, 7, 13, 87
"f:\go_project_mod\myYoku\models\advert.go", "Go", 14, 0, 0, 0, 0, 5, 4, 23
"f:\go_project_mod\myYoku\models\channel.go", "Go", 8, 0, 0, 0, 0, 1, 3, 12
"f:\go_project_mod\myYoku\models\channelRegion.go", "Go", 8, 0, 0, 0, 0, 0, 3, 11
"f:\go_project_mod\myYoku\models\channelType.go", "Go", 8, 0, 0, 0, 0, 0, 3, 11
"f:\go_project_mod\myYoku\models\comment.go", "Go", 43, 0, 0, 0, 0, 3, 9, 55
"f:\go_project_mod\myYoku\models\user.go", "Go", 16, 0, 0, 0, 0, 1, 4, 21
"f:\go_project_mod\myYoku\models\video.go", "Go", 32, 0, 0, 0, 0, 1, 5, 38
"f:\go_project_mod\myYoku\models\videoEpisodes.go", "Go", 15, 0, 0, 0, 0, 1, 4, 20
"f:\go_project_mod\myYoku\services\advertService.go", "Go", 36, 0, 0, 0, 0, 1, 6, 43
"f:\go_project_mod\myYoku\services\channelBaseService.go", "Go", 58, 0, 0, 0, 0, 1, 7, 66
"f:\go_project_mod\myYoku\services\commentService.go", "Go", 108, 0, 0, 0, 0, 6, 9, 123
"f:\go_project_mod\myYoku\services\common.go", "Go", 35, 0, 0, 0, 0, 4, 9, 48
"f:\go_project_mod\myYoku\services\userService.go", "Go", 93, 0, 0, 0, 0, 3, 13, 109
"f:\go_project_mod\myYoku\services\videoService.go", "Go", 158, 0, 0, 0, 0, 7, 13, 178
"Total", "-", 996, 60, 469, 2, 8, 74, 196, 1805